timestamp,poi,x,y,z,qw,qx,qy,qz,vx,vy,vz,roll,pitch,yaw,gimbal_pitch,radio_min,radio_max
931331155,0,-0.428356,-0.890942,0.43398,0.582867,0.0058599,-0.0092289,0.812494,0.00266558,-0.000472927,-0.000303585,-0.00816755,-0.0202821,1.89709,0.0202608,0,0
931360671,0,-0.428122,-0.890799,0.43392,0.582848,0.00574547,-0.0092113,0.812509,0.00190181,-0.00613017,-0.00202788,-0.00827282,-0.0200754,1.89713,0.0202608,0,0
931399341,0,-0.428058,-0.890603,0.433874,0.582857,0.00577174,-0.00923174,0.812502,0.00640756,-0.00331319,-0.00141882,-0.00827518,-0.020142,1.89711,0.0200986,0,0
931430767,0,-0.428091,-0.890439,0.433804,0.582864,0.00588272,-0.00917513,0.812496,0.00241324,-0.00224661,-0.00184156,-0.0080536,-0.0202565,1.89709,0.0201504,0,0
931460592,0,-0.427765,-0.890252,0.433748,0.58285,0.00573679,-0.00915038,0.812508,0.00394518,-0.0120574,-0.00186819,-0.00818385,-0.0199903,1.89713,0.0201504,0,0
931500130,0,-0.427521,-0.889942,0.43372,0.58284,0.00582192,-0.00930237,0.812513,0.00696896,-0.00915764,-0.00125764,-0.00833191,-0.0203058,1.89715,0.020258,0,0
931530791,0,-0.427337,-0.889787,0.433749,0.582857,0.00577315,-0.0091628,0.812502,0.00133268,-0.00765172,0.000191556,-0.00816147,-0.020064,1.89711,0.0199507,0,0
931560090,0,-0.427129,-0.889598,0.433872,0.582821,0.00581335,-0.00915583,0.812528,0.00621533,-0.00793397,0.00314887,-0.00810418,-0.0201208,1.8972,0.0199507,0,0
931598826,0,-0.427066,-0.889382,0.433944,0.582817,0.00586172,-0.00922074,0.81253,0.0017091,-0.00639269,0.00202518,-0.0081534,-0.020275,1.89721,0.0203578,0,0
931630757,0,-0.426839,-0.889336,0.434011,0.582846,0.00565575,-0.00919284,0.812511,0.0020362,-0.00669775,0.00222511,-0.00834746,-0.019908,1.89714,0.0199748,0,0
931660208,0,-0.426754,-0.889114,0.434072,0.582814,0.00586133,-0.00925598,0.812532,0.00631279,-0.00454597,0.00165943,-0.00821122,-0.0203155,1.89722,0.0199748,0,0
931698382,0,-0.426403,-0.888744,0.434155,0.582839,0.00578715,-0.00916554,0.812515,0.00727155,-0.00764369,0.00150961,-0.00815006,-0.0200897,1.89715,0.0201387,0,0
931730685,0,-0.426403,-0.888744,0.434155,0.582839,0.00578715,-0.00916554,0.812515,0.00727155,-0.00764369,0.00150961,-0.00815006,-0.0200897,1.89715,0.0202714,0,0
931760541,0,-0.426284,-0.88854,0.434223,0.582814,0.00584397,-0.00926813,0.812532,0.00169974,-0.00682698,0.00165007,-0.00825119,-0.0203014,1.89722,0.0202714,0,0
931798878,0,-0.42611,-0.888484,0.434283,0.582832,0.0056863,-0.00909124,0.812522,0.00299873,-0.00410985,0.00200005,-0.00814705,-0.0198391,1.89717,0.0198259,0,0
931831501,0,-0.42605,-0.888283,0.434349,0.582819,0.00593084,-0.00914357,0.812529,0.0050655,-0.00578467,0.00233676,-0.00794734,-0.0202974,1.8972,0.0202964,0,0
931862749,0,-0.425833,-0.88814,0.434407,0.582832,0.00570422,-0.00916003,0.812521,0.000438181,-0.0079087,0.00141828,-0.00823798,-0.0199484,1.89717,0.0202964,0,0
931898071,0,-0.425648,-0.887792,0.434328,0.582825,0.00583227,-0.00921843,0.812525,0.00136394,-0.00417899,-0.00248695,-0.00818378,-0.0202246,1.89719,0.0200495,0,0
931931727,0,-0.425648,-0.887792,0.434328,0.582825,0.00583227,-0.00921843,0.812525,0.00136394,-0.00417899,-0.00248695,-0.00818378,-0.0202246,1.89719,0.0200298,0,0
931960707,0,-0.425525,-0.887716,0.434244,0.582833,0.00574697,-0.0090911,0.812521,0.00400526,-0.005154,-0.00250459,-0.00807606,-0.0199376,1.89717,0.0200298,0,0
